Name,Category,Cost,Notes,Price,Profit,Qty,Receipt,Sell,Status
4.5-5 Akoya 滿串 ｜真科研彩凜,akoya,"CN¥8,800.00",,"$1,799.00",$0.00,,MeU,,In stock
Akoya 黛妃吊墜 8-8.5,akoya,CN¥680.00,吊墜扣頭(18k白鋯石) 200 + 18k白鏈子 600,$249.00,$0.00,,MeU,,In stock
12-13 澳白銀藍戒指,澳白,"CN¥1,280.00",巴洛克.微瑕,,$66.14,,MeU,$249.00,In stock
18k 藍寶石耳釘（各30分. 鑽18.6分）,藍寶石,"CN¥2,699.00",,,$0.00,,阿找,,In stock
7-9.5 澳白手串,澳白,"CN¥2,499.00",巴洛克.滑皮.少暇.巨絢彩,,$0.00,,阿找,,In stock
8.8 大溪地素釘(孔雀綠.紫光),大溪地,CN¥699.00,正圓.絢彩.無瑕,$299.00,$0.00,,安納塔,,In stock
大溪地雙珠項鏈(藍+澳灰),大溪地,CN¥299.00,水滴.色標.無暇,$199.00,$0.00,,安納塔,,In stock
"12.3 澳白巴洛克任意扣 ",澳白,CN¥399.00,巴洛克,,$0.00,,安納塔,,In stock
11.5 澳白小燈泡吊墜 (atlas),澳白,CN¥399.00,改成繁星m家款式,,$0.00,,安納塔,,In stock
11.6 P家澳白睫毛吊墜,澳白,CN¥399.00,饅頭.絢彩.微皮紋,,$42.00,,安納塔,$99.00,In stock
11 澳白銀藍巴洛克復古款（金鏡）,澳白,CN¥299.00,巴洛克.銀藍,,$0.00,,安納塔,,In stock
18k 13.7 澳白乾枯吊墜,澳白,"CN¥1,980.00",正圓.微皮紋,,$0.00,,安納塔,,In stock
18k 10.9mm 澳白素釘,澳白,"CN¥2,980.00",正圓.銀藍,,$253.29,,安納塔,$679.00,In stock
7-8mm 澳白滿串｜吉爾德鳳凰大證,澳白,"CN¥8,800.00",正圓.極光,,$0.00,,安納塔,,In stock
13mm 金珠蜂蜜罐,金珠,CN¥228.00,,,$0.00,,安納塔,,In stock
9.6mm 大溪地風在吹,大溪地,CN¥399.00,牛油果 改18k兩戴款,,$147.00,,安納塔,$204.00,In stock
14.2mm 大溪地任意扣,大溪地,CN¥580.00,孔雀綠.皮紋重,,$0.00,,安納塔,,In stock
13.3mm 大溪地奶奶灰吊墜,大溪地,CN¥999.00,奶奶灰 改18k任意扣,,$216.29,,安納塔,$359.00,In stock
4.5-5 Akoya手串,akoya,CN¥760.00,普珠,,$0.00,,安納塔,,In stock
7.5-8 真多麻色素釘,akoya,CN¥428.00,7.9mm 巨亮,,$0.00,,安納塔,,In stock
18k黃 10mm澳白單鑽耳墜,澳白,CN¥888.00,,,$0.00,,安納塔,,In stock
13mm 大溪地路路通,大溪地,CN¥399.00,亮.孔雀綠.多瑕,,$0.00,,永久,,In stock
10.3 大溪地戒指,大溪地,CN¥379.00,灰藍亮(尖嘴),,$0.00,,安納塔,,In stock
7.5-8 真多麻滿天星串,akoya,"CN¥1,280.00",巴洛克.極光,,$0.00,,安納塔,,In stock
11-12mm大溪地戒指,大溪地,CN¥370.00,炫紫光近圓巴洛克,,$0.00,,老周訂製,,In stock
18k 10-11大溪地吊墜(瓜子扣),大溪地,CN¥569.00,5L極光又油又亮,,$0.00,,老周大溪地,,In stock
11.2 金珠小噸噸耳墜,金珠,CN¥299.00,巴洛克.有瑕,,$61.29,,安納塔,$104.00,In stock
11.5 P家澳白路路通（橢圓）,澳白,CN¥799.00,,,$84.86,,安納塔,$199.00,In stock
11.5 大溪地太陽花戒指,大溪地,CN¥379.00,孔雀綠,,$244.86,,安納塔,$299.00,In stock
8.5-9.5澳白滿天星項鍊+手串,澳白,"CN¥3,780.00",巴洛克,,$0.00,,安納塔,,In stock
18k 14.7mm金珠路路通,金珠,CN¥999.00,,,$0.00,,安納塔,,In stock
10.9 大溪地暗黑戒指(孔雀紫),大溪地,CN¥299.00,炫紫光,,$156.29,,安納塔,$199.00,In stock
13.2-14 18k澳白橢圓吊墜,澳白,"CN¥2,680.00",皮滑.極光,,$0.00,,安納塔,,In stock
10 澳白戒指地球儀,澳白,CN¥520.00,,,$0.00,,安納塔,,In stock
10.7 大溪地水滴金扣頭吊墜,大溪地,CN¥399.00,開心果色,,$0.00,,安納塔,,In stock
PT D0.2鑽石跳動項鏈,鑽石,"CN¥2,780.00",,,$0.00,,cherry,,In stock
9.5-10.5鉑金灰滿天星手串,大溪地,CN¥859.00,,,$0.00,,安納塔,,In stock
12mm 金珠彩虹任意扣,金珠,CN¥499.00,,,$0.00,,安納塔,,In stock
18k 6-7大溪地keshi,大溪地,"CN¥3,680.00",,,$0.00,,安納塔,,In stock
" 4.5-5 baby鏈",淡水珍珠,CN¥399.00,"  1. $139 (改扣頭插棒$40)
  2. $99",,$82.00,3,安納塔,$139.00,In stock
18k 12.5澳白戒指側鑽,澳白,"CN¥2,980.00",巨亮.饅頭,,$0.00,,美美子,,In stock
18k 澳白素釘10.2,澳白,"CN¥1,180.00",掉了一顆QQ,,$0.00,,美美子,,In stock
18k 10.6 檸檬金珠素釘,金珠,CN¥980.00,正圓極光,,$0.00,,安納塔,,In stock
18k 彈力小珍珠戒指,淡水珍珠,CN¥499.00,,,$0.00,,珍珠姊妹,,In stock
18k 蕭邦鏈針式,素鏈,CN¥499.00,,,$28.71,,珍珠姊妹,$100.00,In stock
10-11 P家澳白太陽花素釘(饅頭),澳白,CN¥459.00,改ins款項鍊＋18k黛妃,,$194.43,,詩錡手作,$260.00,In stock
9.6 P家澳白鑽石款耳飾,澳白,CN¥799.00,,$299.00,$0.00,,安納塔,,In stock
18k 11mm大溪地孔雀綠素釘,大溪地,"CN¥1,180.00",,,$311.43,,安納塔,$480.00,In stock
11.9 澳白酒桶耳釘,澳白,CN¥899.00,,,$151.57,,安納塔,$280.00,In stock
AB素鏈（長格+麻花）,素鏈,CN¥599.00,,,$54.43,,珍珠姊妹,$140.00,In stock
9-12mm大溪地滿串（近圓）,大溪地,"CN¥9,580.00",,,$0.00,,安納塔,,In stock
18k 8.8mm Akoya素釘8.8,akoya,CN¥699.00,,,$94.14,,安納塔,$194.00,In stock
8.8 大溪地孔雀藍（改微笑項鏈）,大溪地,CN¥479.00,、,,$130.57,,安納塔,$199.00,In stock
18k akoya羽黃金keshi,akoya,CN¥799.00,,,$0.00,,釘崎珠寶,,In stock
9.7mm Akoya真多麻耳勾,akoya,CN¥599.00,,$299.00,$0.00,,安納塔,,In stock
9-10 大溪地孔雀綠手串,大溪地,"CN¥3,680.00",,,$0.00,,安納塔,,In stock
18k 11-12厚饅頭萬能扣,澳白,"CN¥1,580.00",,,$0.00,,釘崎珠寶,,In stock
11.1鉑金灰裸珠,大溪地,CN¥428.00,月光石改18k三鑽,,$188.86,,安納塔,$250.00,In stock
7-9.5澳白手鍊,澳白,"CN¥2,499.00",,,$0.00,,阿找,,In stock
9.8mm Akoya真多麻素丁,akoya,CN¥729.00,改18k,,$194.86,,安納塔,$299.00,In stock
10.1孔雀綠戒指,大溪地,CN¥499.00,m家星光款,,$0.00,,安納塔,,In stock
9-10大溪地素丁,大溪地,CN¥399.00,,,$42.00,,老周思曼,$99.00,In stock
50cm 豆豆鏈 italy,素鏈,CN¥320.00,,,$34.29,,永久,$80.00,In stock
60cm 滿天星 italy,素鏈,CN¥288.00,,,$0.00,,永久,,In stock
11mm 大溪地keshi耳飾,大溪地,CN¥699.00,,,$174.14,,安納塔,$274.00,In stock
彈力手鏈 italy,素鏈,CN¥310.00,,,$0.00,,永久,,In stock
85cm 滿天星 italy,素鏈,CN¥366.00,,,$0.00,,永久,,In stock
11.1鉑金灰戒指（像兩層）,大溪地,CN¥650.00,,,$0.00,,安納塔,,In stock
18k 8.6 Akoya (y字鏈),akoya,CN¥790.00,寄加拿大,,$186.14,,安納塔,$299.00,In stock
10.8 大溪地素丁（孔雀紫）,大溪地,CN¥699.00,改18k,,$139.14,,安納塔,$239.00,In stock
9.8mm 極光綠金珠戒指,金珠,CN¥699.00,,,$0.00,,安納塔,,In stock
3.5-4 baby鏈,淡水珍珠,CN¥279.00,"  1. $129
  2. $149",,$238.14,2,安納塔,$278.00,In stock
11.0澳白戒指,澳白,CN¥799.00,炫青粉光的裸珠(做雙四葉草款),,$184.86,,安納塔,$299.00,In stock
10.7 澳白黛妃,澳白,CN¥799.00,巨亮炫彩,$349.00,$0.00,,安納塔,,In stock
3.2-4 baby鏈,淡水珍珠,CN¥299.00,,,$0.00,,安納塔,,In stock
18k 真鑽真多麻手鏈,akoya,"CN¥2,580.00",,,$0.00,,美美子,,In stock
10.9乾枯金珠花朵耳飾,金珠,CN¥699.00,,,$0.00,,安納塔,,In stock
4-4.5無暇baby鏈,淡水珍珠,CN¥399.00,,,$142.00,,安納塔,$199.00,In stock
18k 7.5-8 真多麻素丁,akoya,CN¥659.00,7.8正圓,,$0.00,,安納塔,,In stock
12.0 乾枯澳白戒指,澳白,CN¥899.00,卸下來粉光乾枯,,$0.00,,安納塔,,In stock
9-10 大溪地6球18k項鍊,大溪地,CN¥499.00,主要買鏈子,,$0.00,,老周思曼,,In stock
11.7水滴任意扣,澳白,CN¥334.00,,,$81.29,,安納塔,$129.00,In stock
8.5-9 akoya串,akoya,"CN¥2,350.00",巴洛克但巨亮,,$0.00,,安納塔,,In stock
10.2藍綠色大溪地,大溪地,CN¥299.00,藍光大溪地（蝴蝶結）,,$0.00,,安納塔,,In stock
10.4孔雀藍路路通,大溪地,CN¥520.00,,,$0.00,,安納塔,,In stock
澳白素丁11-12,澳白,CN¥980.00,"1. 澳白吊墜流線($249)
2. 澳白煙花戒指($299)
3. 澳白吊墜流線($274)???不確定",,$408.00,2,安納塔,$548.00,In stock
4-4.5 baby正圓,,CN¥499.00,,,$0.00,,安納塔,,In stock
